ComplaintType;Complaint;Date;Decision;Report_name
Facilities to the Press;Complaint of Shri Sanjay Kumar Sharma, Member, All India Small and Medium Newspapers Federation against Principal Director General, PIB, New Delhi. ;22-01-2021;Dismissed – Devoid of merits;AnnualReport2021
Facilities to the Press;Complaint of Shri B. P. Gautam, Publisher/Journalist, Gautam Sandesh, Hindi Weekly, U.P against Shri Ram Nivas Sharma, Additional District Magistrate, Badaun. ;22-01-2021;Withdrawn;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance on G.O.RT. No. 2430 dated 30.10.2019 of Government of Andhra Pradesh. ;21-09-2020;Disposed of being sub-judice;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance on FIR against Shri Aashish Avasthi, Editor, Media Break, Weekly Newspaper/News Portal. ;22-01-2021;Proceeding Dropped with direction to complete investigation and submit report;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance taken by Council with regards to alleged attack on media persons covering communal violence rocking in North-East Delhi. ;22-01-2021;Proceedings Dropped – Matter under investigation by the police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance with regard to injuries to photo journalists during firefight in J&K. ;22-01-2021;Proceedings Dropped as photo-journalists sustained injuries accidently;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance with regard to manhandle of Shri Ashish Raje photo journalist by Mumbai Police. ;22-01-2021;Proceedings dropped with direction to police authorities to pass final order;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance on Media Release received from IFJ regarding online threat to Smt. Tongam Rina, editor of Arunachal Times. ;22-01-2021;Proceedings dropped being satisfied with the action taken by police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance with regard to attack on Shri Prasantha Chakraborty, senior journalist/General Secretary of Tripura Union of Working Journalists. ;22-01-2021;Proceedings dropped as the journalist was not attacked or assaulted;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance with regard to arrest of journalist, Mr. V. Anbazhagan by Chennai Police. ;22-01-2021;Proceedings dropped being sub-judice and with observation that government should have considered the facts before taking any action;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance for probing against the Special correspondent, Indian Express. ;22-01-2021;Proceedings dropped with the observation that summoning the journalist was justified;AnnualReport2021
Suo-Motu Cognizance;Suo-motu action taken against targeting of journalists for reporting during the COVID-19 period in Odisha. ;22-01-2021;Proceedings dropped for lack of substance;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance regarding killing of a journalist, Mr. Shubham Tripathi in Shuklaganj, Unnao, U.P. ;22-01-2021;Proceedings dropped being satisfied by the action taken by police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu action taken with regard to a news item captioned “Trivandrum Press Club rocked by attacks on Women Journos”. ;22-01-2021;Proceedings dropped being sub-judice;AnnualReport2021
Suo-Motu Cognizance;Communication received from Shri C.K. Nayak, Member, Press Council of India against the police authorities, Govt. of Meghalaya. ;22-01-2021;Proceedings dropped on the basis of the verdict by the Meghalaya High Court;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance with regard to attack on Caravan Reporters. ;22-01-2021;Proceedings dropped on assurance given by the police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance regarding alleged attack on Journalist, Shri Arnab Goswami related to Journalistic duty. ;22-01-2021;Dropped proceedings being satisfied with action taken by police;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance taken by the Council with regard to the Addendum dated 18.04.2020 of Govt. of Maharashtra. ;22-01-2021;Proceedings dropped on withdrawal of order by the State Govt. of Maharashtra;AnnualReport2021
Suo-Motu Cognizance;Suo-motu cognizance taken against targeting of journalists for reporting during the COVID-19 period in Uttar Pradesh. ;22-01-2021;Proceedings dropped upon taking note of statement of police;AnnualReport2021
